GEOID10,Latitude,Longitude,D_d,SE_T002_002,PCT_SE_T02A_002,PCT_SE_T011_002,PCT_SE_T011_005,PCT_SE_T054_003,PCT_SE_T058_006,PCT_SE_T058_008,SE_T064_001,SE_T068_001,PCT_SE_T070_002,PCT_SE_T025_002,PCT_SE_T113_002,SE_T059_001,SE_T068_001.1,PCT_SE_T080_002,Unemploy,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13
26049011505,43.0310189,-83.6255779,0.000400674,1087.367,100,20.37,18.8,6.82,14.63,26.15,2.41,1108,92.51,10.7,7.15,60755,64704900,0.94,50.85308057,26049003100,26049011508,26049011502,0,0,26049012006,26049012008,0,0,0,0,0,0
26049011508,42.9979344,-83.6279169,0.000424666,1356.91,99.96,17.93,20.77,6.98,12.48,41.65,2.14,1519,92.3,14.72,11.21,42145,59509300,3.4,50.31871016,26049011401,26049003400,26049011402,26049011502,26049003100,26049011505,0,0,0,0,0,0,0
26049011601,42.9839696,-83.5110841,0.000873198,193.3608,98.85,24.09,11.56,0.72,7.36,13.82,2.78,1160,94.83,6.79,2.26,80746,91001400,0,52.43015691,26049011213,26049011402,26049013401,26087342000,26087336000,26049011503,26049011610,26049011712,0,0,0,0,0
26049011610,42.9973995,-83.5430645,0.001344937,1279.622,99.48,26.87,9.1,2.88,14.01,26.16,2.49,2933,92.02,9,6.12,61199,164750100,2.53,42.03915774,26049011402,26049011503,26049011601,26049011712,26049011713,0,0,0,0,0,0,0,0
26049011711,43.0245929,-83.5189989,0.001145813,3002.708,100,23.13,18.35,2.48,14.76,45.2,2.07,1439,90.41,9.39,20,45207,62974700,0.29,55.28804815,26049011713,26049011712,26049011714,0,0,0,0,0,0,0,0,0,0
26049011712,43.0268328,-83.4769458,0.00112541,457.9936,98.43,26.01,18.37,2.3,12.22,27.44,2.52,1242,94.2,7.83,6.32,54459,61103600,2.85,56.26326964,26049011601,26049011610,26049011713,26087336000,26049011711,0,26049011714,26049011800,26049011902,0,0,0,0
26049011713,43.0212435,-83.5480505,0.001302229,1590.523,100,15.85,17.61,6.51,14.64,44.98,1.82,2140,93.5,9.52,12.24,42532,74645000,5.64,43.4310532,26049011610,26049011712,26049011503,26049011711,26049011714,0,0,0,0,0,0,0,0
26049011714,43.0386345,-83.5519096,0.000612843,916.4288,100,23.54,18.09,1.29,10.18,22.52,2.56,1313,95.05,5.88,7.31,70541,91563200,1.46,48.68913858,26049011713,26049011503,26049011711,0,26049011712,26049012009,26049011800,26049011902,0,0,0,0,0
26049011800,43.0680991,-83.5484004,0.000868442,353.3273,99.33,23.78,16.73,1.04,9.65,19.54,2.6,1280,94.77,7.45,2.67,67274,82545900,2.04,43.09607157,26049011503,26049012009,26049011714,26049011712,26049011902,26049012003,26049011901,0,0,0,0,0,0
26049011901,43.116802,-83.5261074,0.001208958,177.8585,92.47,21.05,14.55,5.35,9.74,19.98,2.53,1058,94.14,9.66,5.84,63282,62143600,1.32,48.59456884,26049011800,26049012009,26049012003,26049011902,26087342100,26049012100,26049012501,26049012401,26049012402,0,0,0,0
26049011902,43.0806718,-83.49408,0.000639773,255.3976,99.22,29.1,9.62,0.59,14.04,14.33,2.94,1091,94.68,17.85,5.59,64916,59398600,0.66,53.07692308,26049011714,26049011800,26049011712,26087336000,26087342100,26049011901,0,0,0,0,0,0,0
26049012003,43.1016372,-83.6027374,0.001021675,1431.142,92.49,31.58,8.49,3.13,24.12,17.5,3,1259,83.96,17.58,18.52,42253,44915400,6.49,63.62889984,26049012007,26049012008,26049011800,26049012009,26049011901,26049012100,0,0,0,0,0,0,0
26049012006,43.05327,-83.6324305,0.00069254,1745.129,97.67,22.17,18.77,1.59,14.36,31.67,2.36,1248,89.82,12.93,14.18,49403,54097200,8.04,54.13533835,0,26049011505,26049011502,26049012008,26049001900,26049012007,0,0,0,0,0,0,0
26049012007,43.0795649,-83.627345,0.000999841,495.6572,90.46,23.76,11.02,1.78,13.29,21.07,2.65,692,89.16,15.06,25.86,48113,31322000,10.75,46.50793651,26049001900,26049012006,26049012008,26049001800,26049012100,26049012003,0,0,0,0,0,0,0
26049012008,43.0731935,-83.6067556,0.000544948,1011.828,99.92,23.35,15.17,1.38,10.83,20.1,2.63,1236,93.37,14.06,2.37,62679,70828200,3.01,48.05510535,26049011502,26049011505,26049012006,26049011503,26049012009,26049012007,26049012003,0,0,0,0,0,0
26049012009,43.0730167,-83.587854,0.00025554,868.4382,99.96,24.55,14.41,0.69,11.93,17.15,2.76,1004,93.53,17.77,5.12,75301,69428300,4.56,45.02568893,26049011502,26049012008,26049011503,26049011714,26049011800,26049012003,26049011901,0,0,0,0,0,0
26049012100,43.1164787,-83.6247202,0.001481132,286.5397,93.49,22.15,15.32,8.1,12.16,26.62,2.48,1135,88.37,10.92,14.06,52429,51013500,3.19,47.27368978,26049001800,26049012202,26049001900,26049012007,26049012201,26049012003,26049011901,26049012503,26049012501,26049012401,0,0,0
26049012201,43.1078916,-83.6658842,0.00051522,626.1501,99.54,17.17,24.64,6.72,13.14,40.41,2.09,1492,81.1,21.8,22.14,34966,45875400,7.77,66.06334842,26049012202,26049010304,26049010305,26049012100,0,26049012503,0,0,0,0,0,0,0
26049012202,43.0796336,-83.674918,0.000736402,751.7585,99.57,23.94,17.42,67.31,29.97,31.85,2.47,736,79.35,15,30.23,33495,24150500,8.32,60.07532957,26049010304,0,0,26049001800,26049012100,26049010305,26049012201,0,0,0,0,0,0
26049012310,43.1173533,-83.6989227,0.000229181,2580.562,100,27.09,9.36,13.38,22.02,34.17,2.34,1505,87.51,12.25,29.77,39263,52378100,8.1,51.56854319,26049010305,26049010504,0,0,0,0,0,0,0,0,0,0,0
26049012401,43.1877438,-83.5502372,0.000790541,110.853,99.61,21.47,15.91,0.58,7.41,19.95,2.57,783,94.76,9.9,1.75,62754,44053900,2.14,48.91041162,26049012501,26049012100,26049011901,26049012402,26157001300,26157001200,0,0,0,0,0,0,0
26049012402,43.1856446,-83.4902083,0.000617471,151.064,97.95,22.63,13.76,0.36,9.23,21.33,2.58,1155,93.77,9.82,4.97,55909,58425500,1.72,51.5625,26049011901,26049012401,26087342100,26087331500,26087331000,26157001300,26157001200,0,0,0,0,0,0
