NAME,LONG,LAT,POP
Mwanza,34.48321595,-15.62344424,1148
Mwanza,34.883538,-15.35460262,701
Mwanza,34.78014111,-15.49366369,1281
Mwanza,34.67998618,-15.36544185,1047
Thyolo,35.19270677,-16.34812507,914
Thyolo,35.20297474,-16.31943308,579
Thyolo,35.17179772,-16.25935527,1356
Thyolo,35.20619635,-16.28518968,1737
Thyolo,35.20436391,-16.16734706,1067
Thyolo,35.15686622,-16.20773816,1053
Thyolo,35.15427583,-16.25016548,1156
Thyolo,34.96680396,-16.07928532,971
Thyolo,35.00964346,-16.14850907,962
Thyolo,35.1043941,-16.13751488,711
Thyolo,35.30466461,-16.08641362,1010
Thyolo,35.25562048,-16.0776184,951
Thyolo,35.27435034,-16.18112549,789
Thyolo,35.12465629,-16.02344814,479
Thyolo,35.15780727,-16.03610485,871
Thyolo,35.15746972,-16.08016019,1409
Thyolo,35.12436485,-16.12695686,1236
Thyolo,35.17959734,-15.96092827,1012
Thyolo,35.17326835,-15.98226205,824
Thyolo,35.19246584,-15.97904885,809
Thyolo,35.25078668,-16.01196898,1292
Thyolo,35.31153173,-16.04681969,1378
Thyolo,35.0398771,-16.03250033,1568
Thyolo,35.08811266,-15.91801278,693
Thyolo,35.08624647,-15.92885682,842
Thyolo,34.94560441,-16.03103538,993
Mulanje,35.60863763,-16.05389464,775
Mulanje,35.6271057,-16.05335963,1309
Mulanje,35.65764991,-16.07005633,769
Mulanje,35.58474486,-16.0902759,1199
Mulanje,35.4960405,-16.08949326,1273
Mulanje,35.53105197,-16.09327136,1059
Mulanje,35.51146535,-16.09258117,1318
Mulanje,35.35304459,-16.13902357,1547
Mulanje,35.36112533,-16.15502889,1261
Mulanje,35.33620151,-16.15675897,1037
Mulanje,35.31360951,-16.15821129,163
Mulanje,35.8099808,-15.99938054,518
Mulanje,35.67953426,-16.08320001,1316
Mulanje,35.40635146,-15.99936938,1101
Mulanje,35.39931159,-16.03035352,721
Mulanje,35.42048986,-16.06762384,1260
Mulanje,35.40603987,-16.07012666,775
Mulanje,35.37675323,-16.07701565,401
Mulanje,35.34594425,-16.02532894,889
Mulanje,35.36593569,-16.03472808,801
Mulanje,35.4958713,-15.71880667,1957
Mulanje,35.50751899,-15.74563975,1020
Mulanje,35.44982121,-15.88095073,788
Mulanje,35.43169565,-15.92664423,989
Mulanje,35.37647483,-15.93391823,693
Mulanje,35.45512833,-15.95282387,825
Mulanje,35.49866625,-15.62667727,864
Mulanje,35.34655367,-15.80969088,878
Phalombe,35.56269758,-15.55054512,909
Phalombe,35.55731238,-15.56515156,1409
Phalombe,35.63716697,-15.66268977,1203
Phalombe,35.70410066,-15.7322059,736
Phalombe,35.53667793,-15.74590149,737
Phalombe,35.54327366,-15.82866065,877
Phalombe,35.80638851,-15.57896488,1012
Phalombe,35.77329428,-15.61673579,839
Phalombe,35.83021598,-15.60144886,964
Phalombe,35.78554617,-15.86376881,1024
Phalombe,35.79633441,-15.87808945,1051
Phalombe,35.81087042,-15.87699929,1051
Phalombe,35.80108327,-15.92541631,723
Chikwawa,34.72077467,-16.37219121,1676
Chikwawa,34.96900032,-16.51309088,1592
Chikwawa,34.83658122,-16.25576109,823
Chikwawa,34.91378208,-16.24681797,806
Chikwawa,34.86950137,-16.25613898,1011
Chikwawa,34.50643527,-16.00633061,1321
Chikwawa,34.62904307,-16.08672093,867
Chikwawa,34.64224632,-16.13642577,1063
Chikwawa,34.8579973,-16.02834607,2606
Chikwawa,34.95700756,-16.15565563,219
Chikwawa,35.00079974,-16.21403597,1234
Chikwawa,34.88533302,-16.45628894,1090
Nsanje,35.08893928,-17.03875069,967
Nsanje,35.12923947,-17.05001518,862
Nsanje,35.24299407,-17.03749486,292
Nsanje,35.1123868,-16.38590222,1046
Nsanje,35.15613731,-16.40413021,1474
Nsanje,35.24352462,-16.47506366,573
Nsanje,35.22087861,-16.48645814,310
Nsanje,35.20757121,-16.49091113,325
Nsanje,35.19026898,-16.67599387,1388
Nsanje,35.27216736,-16.74776967,1507
Balaka,34.94817887,-14.86712633,396
Balaka,34.98136975,-14.93786957,833
Balaka,35.01531512,-14.95102476,1153
Balaka,35.19388401,-15.08101957,476
Balaka,35.14352689,-15.13260627,1407
Balaka,35.08556962,-15.08633248,1095
Balaka,34.96108447,-15.08637862,715
Balaka,34.95988967,-15.21811897,909
Balaka,34.9865466,-15.27958492,2232
Balaka,34.87097305,-15.23589188,1990
Balaka,35.22352623,-14.82317268,1248
Balaka,35.15963897,-14.84920276,1231
Balaka,35.11916438,-14.82796325,1737
Balaka,35.26133925,-14.88253782,854
Balaka,35.18954329,-14.92010746,1024
Balaka,35.21094498,-14.9801984,887
Balaka,34.97025708,-14.99536111,1304
Balaka,34.95068019,-14.99288003,949
